Name	ID	State	Network	County	Elevation_ft	Latitude	Longitude	HUC	Date_of_Data	Date_Report_Created	Value_inches	Percent_NRCS_1981_2010_Average	Percent_NRCS_1981_2010_Median	Percent_of_POR_Average	Percent_of_POR_Median	Percent_of_Water_Year_Peak	Percent_of_Average_Water_Year_Peak_POR	Percent_of_Median_Water_Year_Peak_POR	POR_Median_Departure_inches	Percentile_POR	Maximum_Rank_POR	Minimum_Rank_POR	Records_POR	Percent_of_Saturation	NRCS_1981_2010_Average_inches	NRCS_1981_2010_Median_inches	POR_Average_inches	POR_Median_inches	Minimum_POR_inches	Maximum_POR_inches	Year_of_Minimum_POR	Year_of_Maximum_POR	Number_of_Observations_POR	Saturation_inches
Lubrecht Flume	"604	"	Montana	SNOTEL	Missoula	4680	46.88293	-113.32228	"170102031204	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.5	120	122	110	112	100	91	97	0.6	73	14	36			4.6	4.5	5	4.9	1.3	10.5	1981	1972	49	
Lucky Strike	"605	"	Oregon	SNOTEL	Umatilla	4970	45.27478	-118.8479	"170701030606	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															7.4	6.8	7.03	6.5	0	17.3	2015	1989	40	
Lye Brook	"2042	"	Vermont	SCAN	Bennington	2435	43.05	-73.03333	"020200030202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4			62	78	49	44	43	-1.1	20	9	3					6.5	5.1	2.8	15.5	2016	2017	11	
Lyman Lake	"606	"	Washington	SNOTEL	Chelan	5980	48.19798	-120.91678	"170200090203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	37.7	80	82	82	83	100	58	57	-7.6	22	29	9			47.3	45.9	46.15	45.3	24.3	72.1	2005	1991	37	
Lynn Lake	"1069	"	Washington	SNOTEL	King	3900	47.20172	-121.77972	"171100130203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.3			91	95	100	50	50	-0.8	45	7	6					16.84	16.1	0	43.6	2015	2008	12	
Lynx Pass	"607	"	Colorado	SNOTEL	Routt	8880	40.07806	-106.67028	"140100011001	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.6	110	114	109	115	99	78	82	1.25	65	14	25			8.7	8.4	8.79	8.35	2.8	12.4	1981	2011	38	
MF Nooksack	"1011	"	Washington	SNOTEL	Whatcom	4970	48.82453	-121.92951	"171100040303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	41.6	101	102	106	100	99	61	57	0	50	9	9			41.3	40.8	39.21	41.6	10.5	56.1	2015	2007	17	
Madison Butte	"608	"	Oregon	SNOTEL	Morrow	5150	45.10513	-119.49585	"170702041101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.3	184	231	192	231	100	138	163	4.7	84	7	33			4.5	3.6	4.33	3.6	0	11.5	"1996, 2015"	1993	39	
Madison Plateau	"609	"	Montana	SNOTEL	Gallatin	7750	44.58623	-111.11627	"100200070204	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.6	97	105	94	100	100	67	68	-0.05	49	27	24			18.2	16.7	18.67	17.65	7.1	35.4	1977	1997	52	
Magic Mountain	"610	"	Idaho	SNOTEL	Twin Falls	6880	42.18072	-114.28662	"170402120601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.6	106	107	107	109	100	85	86	1.4	66	14	25			15.7	15.5	15.44	15.2	8.2	26.4	1981	1984	39	
Mahantango Ck	"2028	"	Pennsylvania	SCAN	Northumberland	730	40.66667	-76.66667	"020503010801	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	2.1			144	263	100	73	82	1.3	63	8	13					1.46	0.8	0	4.5	"2006, 2012, 2016"	2014	20	
Mammoth Pass	"MHP	"	California	Cooperator Snow Sensors	Mono	9300	37.61	-119.033	"180901020204	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	27.17	27.15	3.5	61	2012	2017	28	
Mammoth-Cottonwood	"612	"	Utah	SNOTEL	Sanpete	8709	39.68338	-111.31818	"160300040203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.3	129	133	128	135	100	93	101	5	79	9	32			15	14.5	15.11	14.3	5.7	28.3	1987	1997	40	
Mancos	"905	"	Colorado	SNOTEL	Montezuma	10000	37.43087	-108.16954	"140801070102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.4	118	133	120	129	100	94	94	3.5	71	8	18			13	11.6	12.82	11.9	5.3	23	"2006, 2018"	2008	25	
Many Glacier	"613	"	Montana	SNOTEL	Glacier	4900	48.79698	-113.6705	"090400010201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.8	84	90	85	89	99	65	68	-1.2	33	29	14			11.6	10.9	11.6	11	3	20	2005	1997	43	
Marion Forks	"614	"	Oregon	SNOTEL	Linn	2590	44.59397	-121.97365	"170900050205	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.5	71	87	77	105	100	53	59	0.3	53	19	21			9.2	7.5	8.45	6.2	0	28.1	"1981, 1996, 2015"	2008	39	
Marlette Lake	"615	"	Nevada	SNOTEL	Carson City	7884	39.16395	-119.89672	"160501010201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	31.7	169	178	171	183	100	124	138	14.4	93	4	38			18.8	17.8	18.49	17.3	4.2	38.3	1991	2017	41	
Marquette	"616	"	Wyoming	SNOTEL	Park	8760	44.3016	-109.24019	"100800130303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.5			101	108	95	47	52	0.4	55	18	22					5.44	5.1	1.7	10	2011	1997	39	
Marten Ridge	"999	"	Washington	SNOTEL	Whatcom	3520	48.76292	-121.69823	"171100051004	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	30.1			71	72	100	45	43	-11.6	8	12	2	2nd Lowest				42.63	41.7	1.1	69.3	2015	2007	13	
Mascoma River	"2043	"	New Hampshire	SCAN	Grafton	1400	43.78333	-72.03333	"010801060101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	4.92	5.1	0.6	7.8	2000	2008	16	
Maverick Fork	"617	"	Arizona	SNOTEL	Apache	9200	33.92121	-109.45881	"150601010104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.5	96	99	104	112	100	85	94	0.9	58	17	23			8.9	8.6	8.19	7.6	0	22.7	"2000, 2006, 2014"	1993	39	
May Creek	"1096	"	Alaska	SNOTEL	Valdez-Cordova	1610	61.34783	-142.70967	"190201031603	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															4.8	4.5	4.24	4	3.5	5.7	"2010, 2016"	2009	11	
Mc Clure Pass	"618	"	Colorado	SNOTEL	Pitkin	9500	39.12897	-107.28806	"140200040203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.4	101	109	102	106	100	72	80	0.8	63	15	24			13.3	12.3	13.08	12.6	6.7	22.2	1981	1997	39	
McBride Upper	"1A02P	"	British Columbia	Cooperator Snow Sensors	"	"	5276	53.3	-120.31667	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	14.63	14.3	9.5	21.3	1986	2012	23	
Mccoy Park	"1040	"	Colorado	SNOTEL	Eagle	9480	39.60468	-106.54128	"140100030302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.4	104	94	111	103	100	77	80	0.3	69	6	12			11	12.1	10.29	11.1	6.4	13	2018	2009	17	
Mckenzie	"619	"	Oregon	SNOTEL	Lane	4770	44.2103	-121.87292	"170900040207	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	25.7	74	76	80	81	100	58	65	-6.2	32	26	12			34.5	34	32.04	31.9	4	58.6	2015	1989	38	
Mcknight Cabin	"1048	"	New Mexico	SNOTEL	Grant	9240	33.00812	-107.86975	"130302020103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	0.1	2	3	3	4	5	2	3	-2.25	13	14	2	2nd Lowest		5.2	2.9	3.22	2.35	0	11.4	2006	2010	16	
Mcneil Canyon	"1003	"	Alaska	SNOTEL	Kenai Peninsula	1320	59.74433	-151.25133	"190203010806	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															8.7	8.7	8.33	8.75	0.6	15.4	2015	2002	30	
Meadow Lake	"620	"	Idaho	SNOTEL	Lemhi	9150	44.43655	-113.31815	"170602040101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.7	84	87	83	86	100	51	55	-1.6	32	24	11			11.5	11.2	11.66	11.3	7.1	21.7	"2001, 2010"	1997	35	
Meadow Lake	"MDW	"	California	Cooperator Snow Sensors	Nevada	7200	39.417	-120.508	"180201250601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	36.77	33.5	12.4	64.7	2012	"1998, 1999"	15	
Meadows Pass	"897	"	Washington	SNOTEL	King	3230	47.28312	-121.47197	"171100120101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.4	92	102	92	87	100	64	64	-3	44	15	11			21	19.1	21.07	22.4	0	49.5	2015	2008	26	
Med Bow	"1196	"	Wyoming	SNOTEL	Carbon	10500	41.37833	-106.34681	"101800040302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	27.1			106	113	100	72	73	3.1	67	3	5					25.51	24	18.5	31.6	2013	2018	7	
Medano Pass	"914	"	Colorado	SNOTEL	Saguache	9649	37.85164	-105.43614	"130100030604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.2	126	147	137	147	99	107	97	2.3	87	4	20			5.7	4.9	5.25	4.9	1.2	10	2018	2008	24	
Medicine Lake	"MED	"	California	Cooperator Snow Sensors	Siskiyou	6700	41.587	-121.613	"180200030301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	20.43	19.3	3.7	39	1991	1999	32	
Merchant Valley	"621	"	Utah	SNOTEL	Beaver	8705	38.30285	-112.43637	"160300070201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.9	118	125	120	123	100	83	88	2.2	68	13	27			10.1	9.5	9.89	9.7	3.5	17.5	2018	1997	39	
Mesa Lakes	"622	"	Colorado	SNOTEL	Mesa	10000	39.05831	-108.05835	"140100051307	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.8	110	119	113	120	100	71	72	2.3	66	12	22			12.5	11.6	12.19	11.5	5.1	22.3	2018	1993	33	
Mica Creek	"623	"	Idaho	SNOTEL	Shoshone	4510	47.15045	-116.26643	"170103040604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															20.2	18.4	19.31	18	8.6	40.3	2005	1997	28	
Michigan Creek	"937	"	Colorado	SNOTEL	Park	10600	39.43577	-105.91078	"101900010404	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.3	108	117	112	119	99	66	65	1.3	75	6	16			7.7	7.1	7.4	7	4.3	11.5	2013	2006	21	
Middle Boulder 3	"MB3	"	California	Cooperator Snow Sensors	Siskiyou	6200	41.225	-122.811	"180102080201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	19.42	18.2	1.6	34.5	2018	2010	26	
Middle Creek	"624	"	Colorado	SNOTEL	Mineral	11250	37.61978	-107.03482	"130100010501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.3	110	109	112	112	100	75	80	1.6	63	15	25			13.9	14.1	13.7	13.7	4.7	22.6	2000	2005	39	
Middle Fork Camp	"1014	"	Colorado	SNOTEL	Grand	8940	39.7956	-106.0273	"140100010402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8	99	100	97	97	100	68	70	-0.25	47	10	9			8.1	8	8.25	8.25	5.3	11	2010	2006	18	
Middle Powder	"625	"	Wyoming	SNOTEL	Washakie	7760	43.62728	-107.18138	"100800080205	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7	90	95	92	95	100	50	53	-0.4	43	24	16			7.8	7.4	7.6	7.4	4.6	13.6	2005	1995	41	
Midway Valley	"626	"	Utah	SNOTEL	Iron	9827	37.56933	-112.83849	"160300010101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	22.1	121	139	124	141	100	82	89	6.4	76	10	30			18.3	15.9	17.75	15.7	5.7	55.9	1981	2005	39	
Milk Shakes	"1079	"	Oregon	SNOTEL	Wallowa	5580	45.9821	-117.94883	"170701020201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	33.1			115	119	100	73	75	5.2	82	3	10					28.79	27.9	17.3	42	2015	2008	12	
Mill Creek Summit	"627	"	Idaho	SNOTEL	Custer	8800	44.47212	-114.48992	"170602010501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															15	14.1	15.46	15	7.3	29.5	1994	1997	34	
Mill-D North	"628	"	Utah	SNOTEL	Salt Lake	8963	40.65883	-111.63683	"160202040201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.1	124	124	127	127	100	87	90	4.9	90	4	28			18.6	18.6	18.16	18.2	10.8	31.6	2003	1997	31	
Miller Woods	"1084	"	Oregon	SNOTEL	Yamhill	420	45.24755	-123.27563	"170900080606	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	0					0	0	0	0	100	1	1					0	0	0	0	"2017, 2018, 2019, more"	"2017, 2018, 2019, more"	13	
Mineral Creek	"629	"	Colorado	SNOTEL	San Juan	10040	37.84747	-107.72657	"140801040103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.7	125	129	121	128	100	85	86	3	75	11	31			11	10.6	11.34	10.7	4.3	20.7	1981	1979	41	
Mining Fork	"631	"	Utah	SNOTEL	Tooele	8295	40.49384	-112.61141	"160203040503	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.9	117	117	117	114	100	79	83	1.9	70	10	22			13.6	13.6	13.63	14	6.7	25	2018	1997	31	
Mission Creek	"2F05P	"	British Columbia	Cooperator Snow Sensors	"	"	5886	49.93333	-118.93333	"170200060703	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	14.37	13.8	6.8	23.5	1977	1999	45	
Mission Ridge	"1C18P	"	British Columbia	Cooperator Snow Sensors	"	"	6243	50.75	-122.2	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	18	16.9	6.8	33.5	1977	1991	41	
Mitchell Meadow	"MTM	"	California	Cooperator Snow Sensors	Tulare	9900	36.737	-118.712	"180300100401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	24.55	21	3	60	1977	1969	45	
Molas Lake	"632	"	Colorado	SNOTEL	San Juan	10500	37.74932	-107.68866	"140801040302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.4	103	112	105	112	100	73	70	1.6	66	12	22			15	13.7	14.7	13.8	7.6	24.8	1990	1993	33	
Molson Creek	"2A21P	"	British Columbia	Cooperator Snow Sensors	"	"	6332	52.21667	-118.21667	"170200190000	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	32.65	31.6	16.3	47.2	1993	2007	31	
Monitor Pass	"633	"	California	SNOTEL	Alpine	8306	38.6683	-119.6087	"160502010201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	21	171	168	172	169	100	127	135	8.6	96	2	28	2nd Highest		12.3	12.5	12.22	12.4	3.3	27.1	1991	2017	29	
Monte Cristo	"634	"	Utah	SNOTEL	Cache	8932	41.46547	-111.49688	"160102030201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.3	112	119	113	117	100	76	76	3.3	65	15	27			20.8	19.6	20.65	20	8.4	36.9	1981	1997	41	
Monument Creek	"949	"	Alaska	SNOTEL	Fairbanks North Star	1850	65.07833	-145.87067	"190803060402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4	98	105	94	100	100	70	68	0	50	20	18			4.1	3.8	4.24	4	1.8	9.1	2010	1993	39	
Monument Peak	"635	"	Montana	SNOTEL	Park	8850	45.21759	-110.237	"100700020902	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.5	94	101	92	100	100	60	64	0	50	20	20			15.4	14.4	15.82	14.5	10.2	28.3	2001	1997	39	
Moon Pass	"1124	"	Colorado	SNOTEL	Saguache	11140	37.96661	-106.55837	"130100040201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.2			128	129	100	92	91	1.4	80	3	9					4.85	4.8	2.8	6.6	2018	2016	11	
Moonshine	"636	"	Idaho	SNOTEL	Lemhi	7440	44.4147	-113.39812	"170402170201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.3	106	111	104	111	98	78	83	0.8	59	16	23			7.8	7.5	7.98	7.5	4.1	14.4	2001	1997	38	
Moose Creek	"638	"	Idaho	SNOTEL	Lemhi	6200	45.67008	-113.95315	"170602030601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.7	79	82	79	80	100	61	65	-2.6	20	29	8			13.5	13.1	13.54	13.3	8	25	"1994, 2001"	1997	36	
Moraine	"1035	"	Alaska	SNOTEL	Anchorage	2100	61.37727	-148.99917	"190204010103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	3.9	59	60	73	72	100	52	51	-1.5	25	13	5			6.6	6.5	5.33	5.4	0.2	12.3	2015	2012	17	
Mores Creek Summit	"637	"	Idaho	SNOTEL	Boise	6100	43.932	-115.66588	"170501110503	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	24.8	105	102	105	106	100	80	78	1.3	56	17	21			23.7	24.4	23.52	23.5	10.9	38.7	2013	1997	37	
Morgan Creek	"639	"	Idaho	SNOTEL	Lemhi	7600	44.84237	-114.26871	"170602030901	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.2	70	77	72	79	97	53	55	-1.65	22	30	9			8.8	8.1	8.65	7.85	5.2	17.4	1991	1997	38	
Mormon Mountain	"640	"	Arizona	SNOTEL	Coconino	7500	34.94109	-111.51849	"150200150201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.6	79	98	89	100	98	61	70	0	53	19	20			5.8	4.7	5.18	4.6	0	17.1	"2006, 2014, 2015, more"	2010	39	
Mormon Mtn Summit	"1125	"	Arizona	SNOTEL	Coconino	8500	34.96964	-111.50922	"150200150202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.3			118	126	100	97	121	2.1	70	4	8					8.76	8.2	2.2	20.1	2015	2010	11	
Morrissey Ridge	"2C09Q	"	British Columbia	Cooperator Snow Sensors	"	"	6102	49.45	-114.96667	"170101060804	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	20.73	20.7	8.5	40.8	2001	1991	33	
Morse Lake	"642	"	Washington	SNOTEL	Yakima	5410	46.90585	-121.4827	"170300020106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	40	95	97	99	97	100	69	68	-1.25	43	22	17			42.2	41.4	40.53	41.25	12.1	69.3	2005	1997	38	
Mosby Mtn.	"643	"	Utah	SNOTEL	Uintah	9553	40.60798	-109.8881	"140600100702	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.4	130	154	127	150	100	79	91	3.8	78	10	32			8.8	7.4	8.96	7.6	3	21.5	2015	2005	41	
Moscow Mountain	"989	"	Idaho	SNOTEL	Latah	4700	46.805	-116.8535	"170603061002	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.2	98	101	106	102	100	84	89	0.3	67	7	13			17.6	17	16.16	16.9	5.4	27.9	2015	2002	19	
Moses Mtn	"644	"	Washington	SNOTEL	Okanogan	5010	48.36163	-119.08159	"170200061903	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.7	74	72	75	73	99	53	50	-3.15	30	20	9			11.8	12	11.63	11.85	3.9	27.5	2005	1999	28	
Mosley Creek Upper	"3A24P	"	British Columbia	Cooperator Snow Sensors	"	"	5430	51.76667	-124.61667	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	9.94	9.3	3.9	21.1	1993	1991	30	
Mosquito Ridge	"645	"	Idaho	SNOTEL	Shoshone	5260	48.05726	-116.23055	"170103010101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	26.4	97	95	99	98	100	73	77	-0.6	49	20	18			27.2	27.9	26.77	27	14.3	43	2001	1997	38	
Moss Peak	"646	"	Montana	SNOTEL	Lake	6780	47.68493	-113.9623	"170102080404	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	25.9	95	99	91	98	100	59	60	-0.55	36	22	13			27.4	26.2	28.43	26.45	17.5	50.4	2005	1997	34	
Moss Springs	"647	"	Oregon	SNOTEL	Union	5760	45.27173	-117.68747	"170601040702	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	22	113	112	115	115	100	83	82	2.9	82	8	32			19.5	19.6	19.14	19.1	10.2	30.4	"1981, 2005"	1997	39	
Mount Cook	"1E02P	"	British Columbia	Cooperator Snow Sensors	"	"	5164	52.16667	-119.31667	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	38.8	37.3	30.7	49.9	2017	2008	15	
Mount Crag	"648	"	Washington	SNOTEL	Jefferson	3960	47.7637	-123.026	"171100180601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.5	80	78	82	78	100	58	55	-5.3	31	21	10			23.1	23.8	22.68	23.8	0	58	2015	1999	30	
Mount Gardner	"898	"	Washington	SNOTEL	King	2920	47.35768	-121.56812	"171100120103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.3	69	70	74	71	100	51	53	-3.8	32	18	9			13.4	13.2	12.5	13.1	0	31.3	2015	2008	26	
Mount Lockhart	"649	"	Montana	SNOTEL	Teton	6400	47.91727	-112.8238	"100302050102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.2	87	93	83	90	100	59	63	-1.5	32	35	17			15.1	14.2	15.9	14.7	7.4	27.8	1977	1972	51	
Mount Mansfield	"2041	"	Vermont	SCAN	Chittenden	2236	44.53333	-72.83333	"041504050201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	7.89	8.3	2.9	12.2	2016	2008	15	
Mount Pondosy	"1B08P	"	British Columbia	Cooperator Snow Sensors	"	"	4636	53.15	-126.86667	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	25.98	24.85	13.3	38.1	2014	2002	24	
Mount Revelstoke	"2A06P	"	British Columbia	Cooperator Snow Sensors	"	"	5807	51.03333	-118.13333	"170200210000	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	36.29	35.2	21.1	55.2	1993	1999	24	
Mount Wells	"1B01P	"	British Columbia	Cooperator Snow Sensors	"	"	4885	53.71667	-126.41667	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	18.08	17.7	9	28.9	2003	2007	26	
Mountain Meadows	"650	"	Idaho	SNOTEL	Idaho	6320	45.69694	-115.22972	"170603020301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.4	96	94	95	94	100	64	67	-0.9	39	24	16			16	16.3	16.23	16.3	10.2	25.5	1981	1997	39	
Mowich	"941	"	Washington	SNOTEL	Pierce	3160	46.92833	-121.95232	"171100140105	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.1	255	"2,550"	243	"1,020"	100	123	138	4.6	80	5	17			2	0.2	2.1	0.5	0	8	"2010, 2015, 2016, more"	2008	21	
Moyie Mountain	"2C10P	"	British Columbia	Cooperator Snow Sensors	"	"	6037	49.25	-115.76667	"170101050304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	12.89	12.25	5.1	23.5	1977	1999	34	
Mt Baldy	"1224	"	Utah	SNOTEL	Sanpete	9524	39.13648	-111.50527	"160300040402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	21.1			124	141	100	98	98	6.1	83	2	6	2nd Highest				16.96	15	9.8	25.5	2018	2017	7	
Mt Hood Test Site	"651	"	Oregon	SNOTEL	Clackamas	5370	45.32097	-121.7158	"170800010302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	33	72	73	77	78	100	52	52	-9.2	21	31	9			45.8	45.4	43.12	42.2	12.3	72.1	2005	1985	39	
Mt Pennell	"1269	"	Utah	SNOTEL	Garfield	9209	37.97793	-110.7933	"140700010502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.7			128	111	100	130	115	0.75	67	2	3	2nd Highest				6.03	6.95	2.4	7.8	2018	2017	4	
Mt Rose Ski Area	"652	"	Nevada	SNOTEL	Washoe	8801	39.31573	-119.89473	"160501020304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	44.3	140	152	142	150	100	101	118	14.7	76	10	30			31.7	29.1	31.15	29.6	4.7	70.4	1991	2017	39	
Mt. Alyeska	"1103	"	Alaska	SNOTEL	Anchorage	1540	60.95983	-149.08617	"190203020702	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.5	52	53	54	55	100	35	37	-11	7	38	4			26	25.4	25.02	24.5	9.3	46.1	2014	1980	41	
Mt. Eyak	"1073	"	Alaska	SNOTEL	Valdez-Cordova	1405	60.55	-145.745	"190202010200	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.7	53	56	66	62	100	40	43	-7.1	31	10	5			21.9	20.9	17.74	18.8	4.2	39.6	2015	2012	14	
Mt. Howard	"653	"	Oregon	SNOTEL	Wallowa	7910	45.26522	-117.17373	"170601050102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.2	93	100	94	101	100	56	56	0.1	55	18	21			12	11.2	11.91	11.1	5	25.8	1981	1997	39	
Mt. Ryan	"948	"	Alaska	SNOTEL	Fairbanks North Star	2800	65.25113	-146.15133	"190803060404	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	2.8	62	68	61	65	76	43	43	-1.5	17	31	6			4.5	4.1	4.59	4.3	2.3	9.1	1982	1993	37	
Muckamuck	"1259	"	Washington	SNOTEL	Okanogan	4470	48.58526	-119.86624	"170200062001	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.4			92	100	98	65	67	0	50	3	2	2nd Lowest				6.94	6.4	5.1	9.3	2015	2016	5	
Mud Flat	"654	"	Idaho	SNOTEL	Owyhee	5730	42.6004	-116.55925	"170501041401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.2	111	111	121	115	100	103	99	0.95	65	14	25			6.5	6.5	5.95	6.25	0	13.1	2015	1986	38	
